model,type,strata,n_covariates,cindex,log_likelihood,aic,ibs,cindex_ci_lower,cindex_ci_upper
Clinical (standard),standard,[],5,0.7438004657211117,-1237.20299056029,2484.40598112058,,,
Clinical (stratified),stratified,"['who_grade', 'eor', 'idh']",3,0.7122886866059818,-915.0090078862567,1836.0180157725133,,0.6777870918153636,0.7458310242795664
Spatial (standard),standard,[],16,0.6455529682160462,-1305.8306471841463,2643.6612943682926,,,
Spatial (stratified),stratified,"['eor', 'who_grade', 'idh']",16,0.5844195119000817,-925.3037664164398,1882.6075328328795,,0.5304426149274702,0.662843317904259
Combined (standard),standard,[],21,0.7519883872138385,-1281.3806188356987,2604.7612376713973,,,
Combined (stratified),stratified,"['who_grade', 'eor', 'idh']",19,0.7101037287930565,-914.325324465853,1866.650648931706,,0.6636032017967627,0.7540046563242384
