model,chi2,df,p_value,n_covariates,significant_at_005
Clinical,18.8240848056638,5,0.002072658389570282,5,True
Spatial,51.40010842344766,16,1.3683938912942771e-05,16,True
Combined,94.28872391249764,21,2.908784657291182e-11,21,True
