model,n_bootstrap,cindex_mean,cindex_median,cindex_std,ci_95_lower,ci_95_upper,note
Clinical-molecular Cox,5000,0.7464608042151647,0.7469134762309163,0.016477441011774768,0.7143098322725054,0.7781011622543026,
Spatial Cox,5000,0.6589298301143346,0.6591237714359625,0.018964789167578083,0.6219953311214481,0.6964767836139751,
Combined Cox,5000,0.7649876330924485,0.7652123575524103,0.01510036483310396,0.7350803591380591,0.7942649982129737,
RSF,0,,,,,,RSF bootstrap not completed; summary omitted to avoid rerunning the multi-hour bootstrap.
