model,variable,coef,exp_coef,se,z,p,ci_lower,ci_upper
Clinical-molecular,age,0.03348333538260572,1.0340502115315533,0.006110051786783066,5.480041176579725,4.252268615703735e-08,0.021507853936836307,0.04545881682837513
Clinical-molecular,sex,0.23676815666956316,1.2671473040660965,0.13301165208495716,1.780055754200652,0.07506683666530849,-0.02392989094112488,0.49746620428025123
Clinical-molecular,mgmt,-0.26395430747330817,0.7680086311098681,0.1446305296854844,-1.825024827381238,0.06799728284508567,-0.5474249367218087,0.019516321775192413
Clinical-molecular,idh,-2.015502518629695,0.13325342421008585,0.33756067527756745,-5.970785894928072,2.3611343462068767e-09,-2.677109284770747,-1.3538957524886426
Clinical-molecular,eor,-0.6064795645950559,0.5452670716659878,0.09888786640751406,-6.133002830658425,8.623561301128752e-10,-0.8002962212617917,-0.4126629079283201
Spatial,global_nc_en_ratio,-0.002420757156085651,0.9975821705136497,0.010055652570337107,-0.24073595812434648,0.8097597678460277,-0.022129474034994004,0.017287959722822703
Spatial,global_ed_en_ratio,-0.00011975627733185503,0.9998802508931649,0.00031177077508919503,-0.3841164307257271,0.7008921539568636,-0.0007308157679388148,0.0004913032132751047
Spatial,global_ed_total_ratio,-1.3808532627503607,0.25136398200740245,0.45329068183802074,-3.046286451667665,0.002316869916345198,-2.2692866736804858,-0.4924198518202356
Spatial,tumor_burden_index,118.51787480454988,2.9625046078532632e+51,65.22865980515334,1.8169601392789378,0.06922321702510718,-9.327949173366136,246.3636987824659
Spatial,frontal_ed_ratio,-49.19469074306245,4.315362381455934e-22,28.37453683114987,-1.7337618948921834,0.0829603392922036,-104.80776101012148,6.41837952399657
Spatial,frontal_en_ratio,-36.720334849387044,1.1286549776624802e-16,28.487371171965865,-1.2890039810174958,0.19739670257167957,-92.55455636066472,19.11388666189064
Spatial,frontal_nc_ratio,-62.12824621289823,1.0424266348199454e-27,29.467949607852706,-2.1083328511034956,0.035002208270464394,-119.88436614253075,-4.372126283265722
Spatial,temporal_ed_ratio,-32.83500374135732,5.494637702953342e-15,17.751548402849508,-1.8496980092219217,0.06435708760635249,-67.62739928076186,1.957391798047233
Spatial,temporal_en_ratio,-20.400669381421924,1.3807080613571769e-09,18.62962485732859,-1.0950660326043353,0.273487708521279,-56.9140631472781,16.112724384434255
Spatial,temporal_nc_ratio,-48.785322610315276,6.498357388825517e-22,18.982157059736316,-2.5700621092107307,0.01016802833455988,-85.98966679628118,-11.580978424349368
Spatial,parietal_ed_ratio,-21.44593962216024,4.85452523352432e-10,12.476026765970008,-1.7189719150536642,0.08561948594671853,-45.898502753619184,3.006623509298702
Spatial,parietal_en_ratio,-15.22859700024177,2.433909106769218e-07,13.612330161683728,-1.118735500782044,0.26325299523215395,-41.90827386281016,11.451079862326626
Spatial,parietal_nc_ratio,-30.967027990534678,3.557874483582124e-14,14.095310828223052,-2.1969737572958925,0.028022320481238143,-58.5933295647493,-3.340726416320056
Spatial,occipital_ed_ratio,-9.611066414047157,6.69833542113729e-05,8.669421532641104,-1.1086168065378619,0.26759552473485765,-26.602820384819758,7.380687556725446
