feature,overall_pct,high_risk_pct,low_risk_pct,odds_ratio,p_value,cohens_d
frontal_en_ratio,33.734939759036145,44.03669724770643,25.71428571428571,2.273224043715847,4.425237429191072e-09,0.40965539048036265
frontal_nc_ratio,18.27309236947791,23.394495412844037,14.285714285714285,1.8323353293413174,2.285180279260087e-06,0.18346425328027013
temporal_en_ratio,34.33734939759036,39.908256880733944,30.0,1.549618320610687,4.157658655942024e-05,0.2569288714093019
temporal_nc_ratio,21.686746987951807,24.31192660550459,19.642857142857142,1.3140495867768596,0.018564919057001923,0.0862317524920241
frontal_ed_ratio,70.08032128514057,77.98165137614679,63.92857142857142,1.9983705772811917,0.023314718998980858,0.08605430996262223
occipital_en_ratio,11.244979919678714,13.761467889908257,9.285714285714286,1.5589198036006546,0.029856588759256765,0.006605477190920036
parietal_en_ratio,24.096385542168676,26.146788990825687,22.5,1.2194616977225672,0.060856177468236954,0.11711482218088673
parietal_nc_ratio,13.052208835341366,15.59633027522936,11.071428571428571,1.4842215988779803,0.1626023632287602,0.09098563346021522
occipital_nc_ratio,7.028112449799197,7.79816513761468,6.428571428571428,1.2310668877833058,0.16294134845683073,0.0015950849375916058
temporal_ed_ratio,62.44979919678715,66.5137614678899,59.285714285714285,1.3640864829179733,0.22770364454874004,-0.014143454022548116
parietal_ed_ratio,49.19678714859438,50.0,48.57142857142857,1.0588235294117647,0.2778515843240209,0.04953424975959959
occipital_ed_ratio,26.506024096385545,26.605504587155966,26.42857142857143,1.0091216216216217,0.3266589818532766,0.028312159027079547
