repeat,fold,roc_auc,accuracy,precision,recall,f1_score,feature_set,model
24,4,0.7251585623678647,0.6632653061224489,0.6190476190476191,0.6046511627906976,0.611764705882353,Combined,Logistic Regression
25,5,0.6862579281183931,0.5918367346938775,0.5283018867924528,0.6511627906976745,0.5833333333333334,Combined,Logistic Regression
1,1,0.6686046511627907,0.5959595959595959,0.5306122448979592,0.6046511627906976,0.5652173913043478,Combined,Random Forest
2,2,0.6950413223140496,0.6767676767676768,0.6071428571428571,0.7727272727272727,0.68,Combined,Random Forest
3,3,0.7611570247933883,0.696969696969697,0.6296296296296297,0.7727272727272727,0.6938775510204082,Combined,Random Forest
4,4,0.7526427061310783,0.673469387755102,0.5932203389830508,0.813953488372093,0.6862745098039216,Combined,Random Forest
5,5,0.5932346723044398,0.5816326530612245,0.5227272727272727,0.5348837209302325,0.5287356321839081,Combined,Random Forest
6,1,0.7400332225913621,0.6565656565656566,0.5849056603773585,0.7209302325581395,0.6458333333333334,Combined,Random Forest
7,2,0.6367768595041323,0.5858585858585859,0.5283018867924528,0.6363636363636364,0.5773195876288659,Combined,Random Forest
8,3,0.6896694214876032,0.6161616161616161,0.5483870967741935,0.7727272727272727,0.6415094339622641,Combined,Random Forest
9,4,0.7262156448202959,0.6836734693877551,0.625,0.6976744186046512,0.6593406593406593,Combined,Random Forest
10,5,0.6934460887949261,0.6632653061224489,0.6,0.6976744186046512,0.6451612903225806,Combined,Random Forest
11,1,0.6843853820598007,0.6464646464646465,0.5740740740740741,0.7209302325581395,0.6391752577319587,Combined,Random Forest
12,2,0.6913223140495868,0.6464646464646465,0.5849056603773585,0.7045454545454546,0.6391752577319587,Combined,Random Forest
13,3,0.734297520661157,0.6767676767676768,0.6153846153846154,0.7272727272727273,0.6666666666666666,Combined,Random Forest
14,4,0.641014799154334,0.6020408163265306,0.5384615384615384,0.6511627906976745,0.5894736842105263,Combined,Random Forest
15,5,0.717124735729387,0.6428571428571429,0.5714285714285714,0.7441860465116279,0.6464646464646465,Combined,Random Forest
16,1,0.7799003322259136,0.696969696969697,0.6382978723404256,0.6976744186046512,0.6666666666666666,Combined,Random Forest
17,2,0.7698347107438016,0.7171717171717171,0.66,0.75,0.7021276595744681,Combined,Random Forest
18,3,0.6553719008264464,0.6161616161616161,0.5517241379310345,0.7272727272727273,0.6274509803921569,Combined,Random Forest
19,4,0.6613107822410148,0.6428571428571429,0.5689655172413793,0.7674418604651163,0.6534653465346535,Combined,Random Forest
20,5,0.682029598308668,0.6326530612244898,0.5614035087719298,0.7441860465116279,0.64,Combined,Random Forest
21,1,0.7171926910299002,0.6565656565656566,0.5789473684210527,0.7674418604651163,0.66,Combined,Random Forest
22,2,0.6983471074380165,0.5858585858585859,0.5245901639344263,0.7272727272727273,0.6095238095238096,Combined,Random Forest
23,3,0.5904958677685952,0.5050505050505051,0.45901639344262296,0.6363636363636364,0.5333333333333333,Combined,Random Forest
24,4,0.7412262156448203,0.673469387755102,0.6122448979591837,0.6976744186046512,0.6521739130434783,Combined,Random Forest
25,5,0.7035940803382663,0.6632653061224489,0.5961538461538461,0.7209302325581395,0.6526315789473685,Combined,Random Forest
1,1,0.7080564784053156,0.6565656565656566,0.6216216216216216,0.5348837209302325,0.575,Combined,XGBoost
2,2,0.7140495867768596,0.7171717171717171,0.6904761904761905,0.6590909090909091,0.6744186046511628,Combined,XGBoost
3,3,0.7487603305785123,0.6666666666666666,0.6410256410256411,0.5681818181818182,0.6024096385542169,Combined,XGBoost
4,4,0.7792811839323467,0.7040816326530612,0.6458333333333334,0.7209302325581395,0.6813186813186813,Combined,XGBoost
5,5,0.618816067653277,0.5816326530612245,0.5333333333333333,0.37209302325581395,0.4383561643835616,Combined,XGBoost
6,1,0.7603820598006645,0.6666666666666666,0.6388888888888888,0.5348837209302325,0.5822784810126582,Combined,XGBoost
7,2,0.6892561983471074,0.6363636363636364,0.6666666666666666,0.36363636363636365,0.47058823529411764,Combined,XGBoost
8,3,0.7227272727272728,0.6666666666666666,0.627906976744186,0.6136363636363636,0.6206896551724138,Combined,XGBoost
9,4,0.759830866807611,0.7040816326530612,0.6944444444444444,0.5813953488372093,0.6329113924050633,Combined,XGBoost
10,5,0.7033826638477801,0.6428571428571429,0.6176470588235294,0.4883720930232558,0.5454545454545454,Combined,XGBoost
11,1,0.6802325581395348,0.6464646464646465,0.5952380952380952,0.5813953488372093,0.5882352941176471,Combined,XGBoost
12,2,0.7384297520661158,0.6565656565656566,0.6388888888888888,0.5227272727272727,0.575,Combined,XGBoost
13,3,0.7371900826446282,0.6767676767676768,0.6666666666666666,0.5454545454545454,0.6,Combined,XGBoost
14,4,0.7014799154334038,0.6224489795918368,0.575,0.5348837209302325,0.5542168674698795,Combined,XGBoost
15,5,0.6824524312896406,0.6020408163265306,0.5625,0.4186046511627907,0.48,Combined,XGBoost
16,1,0.7998338870431893,0.7575757575757576,0.8275862068965517,0.5581395348837209,0.6666666666666666,Combined,XGBoost
17,2,0.7669421487603306,0.7070707070707071,0.7272727272727273,0.5454545454545454,0.6233766233766234,Combined,XGBoost
18,3,0.6590909090909092,0.6464646464646465,0.6097560975609756,0.5681818181818182,0.5882352941176471,Combined,XGBoost
19,4,0.6845665961945031,0.6224489795918368,0.5789473684210527,0.5116279069767442,0.5432098765432098,Combined,XGBoost
20,5,0.6723044397463002,0.6326530612244898,0.5813953488372093,0.5813953488372093,0.5813953488372093,Combined,XGBoost
21,1,0.7167774086378736,0.6565656565656566,0.6097560975609756,0.5813953488372093,0.5952380952380952,Combined,XGBoost
22,2,0.7388429752066116,0.6767676767676768,0.65,0.5909090909090909,0.6190476190476191,Combined,XGBoost
23,3,0.7004132231404958,0.6464646464646465,0.6097560975609756,0.5681818181818182,0.5882352941176471,Combined,XGBoost
24,4,0.7353065539112051,0.6632653061224489,0.6470588235294118,0.5116279069767442,0.5714285714285714,Combined,XGBoost
25,5,0.6589852008456659,0.6326530612244898,0.6,0.4883720930232558,0.5384615384615384,Combined,XGBoost
1,1,0.6868770764119602,0.5959595959595959,0.5348837209302325,0.5348837209302325,0.5348837209302325,Combined,SVM (RBF)
2,2,0.6929752066115703,0.6464646464646465,0.5918367346938775,0.6590909090909091,0.6236559139784946,Combined,SVM (RBF)
3,3,0.7458677685950412,0.6464646464646465,0.6046511627906976,0.5909090909090909,0.5977011494252874,Combined,SVM (RBF)
4,4,0.7725158562367864,0.6836734693877551,0.6153846153846154,0.7441860465116279,0.6736842105263158,Combined,SVM (RBF)
5,5,0.5797040169133192,0.5510204081632653,0.48717948717948717,0.4418604651162791,0.4634146341463415,Combined,SVM (RBF)
6,1,0.7072259136212624,0.5858585858585859,0.5217391304347826,0.5581395348837209,0.5393258426966292,Combined,SVM (RBF)
7,2,0.6421487603305785,0.5858585858585859,0.5333333333333333,0.5454545454545454,0.5393258426966292,Combined,SVM (RBF)
8,3,0.6950413223140497,0.6161616161616161,0.5555555555555556,0.6818181818181818,0.6122448979591837,Combined,SVM (RBF)
9,4,0.7761099365750528,0.7346938775510204,0.6808510638297872,0.7441860465116279,0.7111111111111111,Combined,SVM (RBF)
10,5,0.7014799154334038,0.6428571428571429,0.6052631578947368,0.5348837209302325,0.5679012345679012,Combined,SVM (RBF)
11,1,0.6686046511627908,0.6161616161616161,0.5555555555555556,0.5813953488372093,0.5681818181818182,Combined,SVM (RBF)
12,2,0.6962809917355373,0.6161616161616161,0.5652173913043478,0.5909090909090909,0.5777777777777777,Combined,SVM (RBF)
13,3,0.765702479338843,0.7070707070707071,0.6744186046511628,0.6590909090909091,0.6666666666666666,Combined,SVM (RBF)
14,4,0.6782241014799155,0.6122448979591837,0.5510204081632653,0.627906976744186,0.5869565217391305,Combined,SVM (RBF)
15,5,0.7057082452431289,0.6326530612244898,0.5714285714285714,0.6511627906976745,0.6086956521739131,Combined,SVM (RBF)
16,1,0.7875830564784052,0.696969696969697,0.6444444444444445,0.6744186046511628,0.6590909090909091,Combined,SVM (RBF)
17,2,0.7491735537190083,0.6767676767676768,0.6578947368421053,0.5681818181818182,0.6097560975609756,Combined,SVM (RBF)
18,3,0.631818181818182,0.5555555555555556,0.5,0.5681818181818182,0.5319148936170213,Combined,SVM (RBF)
19,4,0.6807610993657506,0.6530612244897959,0.5918367346938775,0.6744186046511628,0.6304347826086957,Combined,SVM (RBF)
20,5,0.6972515856236786,0.6122448979591837,0.5490196078431373,0.6511627906976745,0.5957446808510638,Combined,SVM (RBF)
21,1,0.6802325581395349,0.5656565656565656,0.5,0.5813953488372093,0.5376344086021505,Combined,SVM (RBF)
22,2,0.7520661157024794,0.6262626262626263,0.5660377358490566,0.6818181818181818,0.6185567010309279,Combined,SVM (RBF)
23,3,0.6669421487603306,0.6262626262626263,0.5853658536585366,0.5454545454545454,0.5647058823529412,Combined,SVM (RBF)
24,4,0.6940803382663847,0.6428571428571429,0.5952380952380952,0.5813953488372093,0.5882352941176471,Combined,SVM (RBF)
25,5,0.6300211416490487,0.5816326530612245,0.525,0.4883720930232558,0.5060240963855421,Combined,SVM (RBF)
