cohort,time,n_valid,n_case,n_control,c_nri_observed,idi_observed,c_nri_mean_b5000,c_nri_ci_lower_b5000,c_nri_ci_upper_b5000,c_nri_p_b5000,idi_mean_b5000,idi_ci_lower_b5000,idi_ci_upper_b5000,idi_p_b5000,cat_nri_observed,cat_nri_mean_b1000,cat_nri_ci_lower_b1000,cat_nri_ci_upper_b1000,cat_nri_p_b1000
Full cohort,12m,393,117,276,0.45949461166852473,0.021012799798495685,0.4927427205414618,0.2510541770176256,0.7290443106054826,0.0,0.028289487430777905,0.010714517202530182,0.05275661041502613,0.0152,0.020438498699368257,-0.0025565774804905237,-0.08622027127461912,0.07972408026755852,0.96
Full cohort,24m,336,206,130,0.44525765496639275,0.02379651977843128,0.4866420430680618,0.24010027423244784,0.7246741417342947,0.0,0.03194769252956877,0.013580408120991134,0.056041129174697196,0.0044,0.02389843166542195,0.0010330097087378658,-0.07688946975354741,0.09030059746079164,0.98
Full cohort,36m,308,230,78,0.5663322185061315,0.02496207449715826,0.5908652213604705,0.2977625845681337,0.8573748985181445,0.0002,0.03347482061085404,0.015448847297108777,0.05617667001813374,0.0038,0.08929765886287626,-0.0008010033444816047,-0.07009754738015606,0.07235785953177257,0.964
