cohort,time,eval_time_months,n_valid,n_case,n_control,c_nri,nri_case,nri_control,idi,c_nri_ci_lower,c_nri_ci_upper,c_nri_p_value,idi_ci_lower,idi_ci_upper,idi_p_value
Idh Wildtype,12m,12.0,311,116,195,0.5500442086648982,0.15517241379310343,0.39487179487179486,0.022605671734490074,0.17332092265894133,0.7265534169784214,0.001,0.010657546151767266,0.060368890500029276,0.0148
Idh Wildtype,24m,24.0,271,200,71,0.39211267605633804,0.040000000000000036,0.352112676056338,0.019974967175714897,0.09944139404488446,0.7343880536120128,0.0068,0.010463801523086059,0.0608036192141132,0.0158
Idh Wildtype,36m,36.0,258,222,36,0.5630630630630631,0.06306306306306309,0.5,0.015852326390176197,0.06034099485824799,0.8743861024033437,0.0196,0.00411229659897464,0.05684961750368202,0.0446
