cohort,time,n_bootstrap,c_nri_mean,c_nri_std,c_nri_ci_lower,c_nri_ci_upper,c_nri_p_value,nri_case_mean,nri_case_std,nri_case_ci_lower,nri_case_ci_upper,nri_case_p_value,nri_control_mean,nri_control_std,nri_control_ci_lower,nri_control_ci_upper,nri_control_p_value,idi_mean,idi_std,idi_ci_lower,idi_ci_upper,idi_p_value
Full cohort,12m,5000,0.4927427205414618,0.12168377964582783,0.2510541770176256,0.7290443106054826,0.0,0.15668082896771435,0.10317846725572022,-0.05050505050505055,0.3534071398969862,0.1312,0.3360618915737475,0.07249846135359851,0.18879570613887955,0.47261077592601736,0.0002,0.028289487430777905,0.010825723001950232,0.010714517202530182,0.05275661041502613,0.0152
Full cohort,24m,5000,0.4866420430680618,0.12615032707581497,0.24010027423244784,0.7246741417342947,0.0,0.11839419131282627,0.07889120179989416,-0.029717971797179738,0.2780487804878049,0.1308,0.36824785175523556,0.10100657979959712,0.16813805309734517,0.5633802816901408,0.0014,0.03194769252956877,0.010736616146116035,0.013580408120991134,0.056041129174697196,0.0044
Full cohort,36m,5000,0.5908652213604705,0.14272791073350422,0.2977625845681337,0.8573748985181445,0.0002,0.13317902764999046,0.07675813945980643,-0.009526098901098866,0.2914973518610785,0.088,0.4576861937104801,0.11882601158376244,0.2173913043478261,0.6799999999999999,0.0014,0.03347482061085404,0.010396430666556182,0.015448847297108777,0.05617667001813374,0.0038
IDH-wildtype,12m,5000,0.4698410784479991,0.13949664031757456,0.17332092265894133,0.7265534169784214,0.001,0.1635334920517039,0.11800467902784835,-0.06666666666666665,0.39285714285714285,0.1776,0.3063075863962952,0.1127956646437788,0.04761904761904767,0.49504950495049505,0.0142,0.031736309406805434,0.012694993309682738,0.010657546151767266,0.060368890500029276,0.0148
IDH-wildtype,24m,5000,0.43074356269558756,0.15936030926064018,0.09944139404488446,0.7343880536120128,0.0068,0.13837663969834993,0.10050483114949806,-0.04073681018799274,0.35611471994116906,0.17,0.2923669229972376,0.15018735663040841,0.0,0.5862068965517242,0.0548,0.0321332087451533,0.012883819250565382,0.010463801523086059,0.0608036192141132,0.0158
IDH-wildtype,36m,5000,0.48297462487482407,0.20628403447001448,0.06034099485824799,0.8743861024033437,0.0196,0.1517825543255644,0.10061394121293471,-0.03139723636953923,0.3628318584070796,0.1356,0.3311920705492596,0.19823526321688964,-0.07692307692307687,0.7,0.0992,0.027150395132985915,0.01349963003717023,0.00411229659897464,0.05684961750368202,0.0446
