model,n,n_events,n_params,log_likelihood,aic,bic
Clinical + Molecular (IDHwt),391,0,4,-1172.8654241543024,2353.730848308605,2369.605678548546
Clinical + Molecular + Spatial (IDHwt),391,0,20,-1168.4828169380753,2376.9656338761506,2456.339785075858
