model,n,n_events,n_params,log_likelihood,aic,bic
Clinical + Molecular,493,0,5,-1287.473962464792,2584.947924929584,2605.9504707997976
Clinical + Molecular + Spatial,493,0,21,-1280.9360491182044,2603.872098236409,2692.082790891305
