model,isotonic,original,platt
Clinical Only,0.1991573091865435,0.22283901946867393,0.20592113477159843
Combined,0.22757185283472142,0.21573072673123073,0.22352229942593016
Spatial Only,0.2603692674972939,0.23685076210727776,0.24494228265903856
