model,Brier Score,Intercept,Slope,HL Statistic,HL p-value,ECE,MCE,n_bins,n_samples
Spatial Only,0.23685076210727776,0.0023731594126120584,0.948526648136923,7.913336350369088,0.44198123723792115,0.11429001219579227,0.23717713148585295,10,99
Clinical Only,0.22283901946867393,0.13453516608851165,1.9605736439965564,18.17936657100815,0.019921223340435446,0.1151441479145247,0.20550178790806906,10,99
Combined,0.21573072673123073,0.04359807987325617,1.0592622984702416,10.049349035268525,0.2615793356141529,0.05649614219935553,0.2219153319232513,10,99
