feature,overall_pct,high_risk_pct,low_risk_pct,odds_ratio,p_value,cohens_d
frontal_en_ratio,34.738955823293175,45.412844036697244,26.42857142857143,2.3159209629797863,5.8423238665486516e-09,0.4076845805762684
frontal_nc_ratio,18.67469879518072,23.853211009174313,14.642857142857144,1.826035850719953,3.3690436010747192e-06,0.1837490097319152
temporal_en_ratio,33.93574297188755,39.44954128440367,29.642857142857142,1.5463672873311427,3.944002057788705e-05,0.24882929144909371
frontal_ed_ratio,69.07630522088354,77.06422018348624,62.857142857142854,1.9854545454545454,0.024484303828543635,0.08475666998565369
temporal_nc_ratio,21.285140562248998,24.31192660550459,18.928571428571427,1.3757575757575757,0.03321885635273055,0.07953414793124947
parietal_en_ratio,24.29718875502008,26.146788990825687,22.857142857142858,1.1948757763975155,0.07182137442659303,0.12043544369893511
occipital_en_ratio,11.44578313253012,13.302752293577983,10.0,1.380952380952381,0.08150372100894908,0.008753929814121679
parietal_nc_ratio,13.052208835341366,15.59633027522936,11.071428571428571,1.4842215988779803,0.19141765811087907,0.09300166633804072
temporal_ed_ratio,62.44979919678715,66.5137614678899,59.285714285714285,1.3640864829179733,0.21237256112990388,-0.00803508492080082
occipital_nc_ratio,7.429718875502007,8.256880733944955,6.785714285714286,1.2363157894736843,0.22169224521853692,0.0018389695073238361
parietal_ed_ratio,48.99598393574297,49.54128440366973,48.57142857142857,1.039572192513369,0.28357801374734104,0.05169182700673013
occipital_ed_ratio,26.305220883534137,26.605504587155966,26.071428571428573,1.0279109589041096,0.40497024868529097,0.027906064546504957
