subregion,importance_mean
en,0.0067357006500590256
ed,0.0043496696832075726
nc,0.0028638702442174094
tumor_burden,0.002851939045838109
ed_en,0.0005192680157617128
ed_total,0.0004741868696988338
nc_en,0.00031167212092882607
