subregion,mean_abs_shap
en,0.0038019275608964734
tumor_burden,0.0030938487655755346
nc,0.001584754560844603
ed,0.0008848577799692816
ed_total,0.00028921143008594276
ed_en,0.0001524645707734633
nc_en,0.00011438564139905345
