subregion,mean_abs_shap
en,0.07037714758189395
ed,0.062153198596206494
nc_en,0.051394544483628124
ed_total,0.045809097588062286
ed_en,0.04386471176985651
tumor_burden,0.03552951943129301
nc,0.03385521300515393
