feature,mean_cohens_d,std_cohens_d,mean_p_value,mean_odds_ratio,mean_prevalence,modality_consistency,consensus_score
frontal_en_ratio,0.409243545397979,0.0010504337009448078,4.674797254656054e-09,2.2838982735318316,33.9859437751004,1.0,0.409243545397979
temporal_en_ratio,0.25540811752604575,0.004487722441173422,3.924886987701538e-05,1.55547345523663,34.18674698795181,1.0,0.25540811752604575
frontal_nc_ratio,0.18355124925455363,0.0001351674867838873,2.5160401224386316e-06,1.8307604596859761,18.373493975903614,1.0,0.18355124925455363
frontal_ed_ratio,0.0857047698472896,0.000633840334441966,0.023713097611619348,1.9951415693245302,69.82931726907631,1.0,0.0857047698472896
temporal_nc_ratio,0.08482714217283732,0.0035651451420215413,0.021443865488247824,1.3294765840220386,21.586345381526105,1.0,0.08482714217283732
occipital_en_ratio,0.0071425903467204,0.0010742263116008009,0.04276837182167977,1.5144279479385863,11.295180722891565,0.75,0.0053569427600403
occipital_ed_ratio,0.02839255923606555,0.00047208630087324324,0.33861740522822475,1.0138189559422437,26.455823293172692,0.0,0.0
occipital_nc_ratio,0.00165605608002465,0.00012194228486609997,0.17762907264725725,1.2323791132059005,7.128514056224899,0.0,0.0
parietal_ed_ratio,0.04984220213454735,0.0013080324713610988,0.280266292608344,1.0540106951871657,49.14658634538153,0.0,0.0
parietal_en_ratio,0.11704951385994013,0.0028189330357668405,0.06378543215289208,1.2133152173913042,24.14658634538153,0.0,0.0
parietal_nc_ratio,0.09094356489154795,0.0017154695414602187,0.16986002648116955,1.4842215988779803,13.052208835341366,0.0,0.0
temporal_ed_ratio,-0.012425703366677775,0.002949074075518269,0.22119280686881476,1.3691628281494594,62.399598393574294,0.0,-0.0
