Model,Features,ROC-AUC,95% CI,CV ROC-AUC,Accuracy,Precision,Recall,F1
A: Global Burden (8f),8,0.3839,"[0.2753, 0.4953]",0.5763 +/- 0.0622,0.5556,0.0000,0.0000,0.0000
B: Enhancing Ratios (16f),16,0.3500,"[0.2416, 0.4585]",0.6504 +/- 0.0461,0.5556,0.0000,0.0000,0.0000
C: T1GD Only (16f),16,0.6372,"[0.5264, 0.7467]",0.6091 +/- 0.0447,0.6061,0.5641,0.5000,0.5301
D: Anatomical 16f,16,0.6649,"[0.5535, 0.7728]",0.6497 +/- 0.0520,0.6667,0.6170,0.6591,0.6374
E: Full 64f (reference),64,0.6322,"[0.5227, 0.7432]",0.6118 +/- 0.0446,0.6162,0.5750,0.5227,0.5476
