model,variable,test_statistic,p_value,significant_at_005,hr,coef
Clinical,age,14.590540589407723,0.00013358342033317354,True,1.0340502115315533,0.03348333538260572
Clinical,eor,0.7293125156517055,0.3931061197161303,False,0.5452670716659878,-0.6064795645950559
Clinical,idh,0.31121123900917497,0.5769378701242796,False,0.13325342421008585,-2.015502518629695
Clinical,mgmt,0.6459000763544849,0.42158233444654014,False,0.7680086311098681,-0.26395430747330817
Clinical,sex,2.54712038524071,0.11049548133015323,False,1.2671473040660965,0.23676815666956316
Spatial,frontal_ed_ratio,4.349109344736721,0.037028306105516655,True,4.315362381455934e-22,-49.19469074306245
Spatial,frontal_en_ratio,4.158513649516637,0.041425741279343176,True,1.1286549776624802e-16,-36.720334849387044
Spatial,frontal_nc_ratio,3.6664535968282594,0.05551819582371611,False,1.0424266348199454e-27,-62.12824621289823
Spatial,global_ed_en_ratio,0.01236341376263976,0.9114649764780088,False,0.9998802508931649,-0.00011975627733185503
Spatial,global_ed_total_ratio,0.008092545643474999,0.9283201317796104,False,0.25136398200740245,-1.3808532627503607
Spatial,global_nc_en_ratio,0.018484518917990838,0.891854654812305,False,0.9975821705136497,-0.002420757156085651
Spatial,occipital_ed_ratio,4.414245573680688,0.03564003508774907,True,6.69833542113729e-05,-9.611066414047157
Spatial,occipital_en_ratio,4.873051159011007,0.027279227468169846,True,6.129814032212808e-11,-23.515271610769112
Spatial,occipital_nc_ratio,2.193169186719892,0.13862383114220722,False,0.13299687509851346,-2.0174296465363057
Spatial,parietal_ed_ratio,3.7408177475802846,0.053098452558048764,False,4.85452523352432e-10,-21.44593962216024
Spatial,parietal_en_ratio,3.7057594959233464,0.05422498801963029,False,2.433909106769218e-07,-15.22859700024177
Spatial,parietal_nc_ratio,3.332990190284853,0.0679033183490919,False,3.557874483582124e-14,-30.967027990534678
Spatial,temporal_ed_ratio,4.408018643793253,0.03577036500646185,True,5.494637702953342e-15,-32.83500374135732
Spatial,temporal_en_ratio,6.030821330701043,0.01405819037984956,True,1.3807080613571769e-09,-20.400669381421924
Spatial,temporal_nc_ratio,2.031267219427857,0.1540920787688332,False,6.498357388825517e-22,-48.785322610315276
Spatial,tumor_burden_index,4.456950806919711,0.03475949246135521,True,2.9625046078532632e+51,118.51787480454988
Combined,age,18.89027435705509,1.3845675656687553e-05,True,1.0107503112600111,0.010692937488249317
Combined,eor,5.139744981762646,0.023384082945341382,True,0.8010401829261585,-0.2218441672217867
Combined,frontal_ed_ratio,4.664929145652875,0.03078469361963533,True,3.733979409012862e-12,-26.31354658528248
Combined,frontal_en_ratio,2.9891284912328975,0.08382527117415339,False,5.341982822994327e-11,-23.65283912371534
Combined,frontal_nc_ratio,4.5857887195201945,0.03223813110965448,True,8.204012860371164e-12,-25.526397708146366
Combined,global_ed_en_ratio,0.12273249923562816,0.7260895643068663,False,1.0000214987069702,2.149847587623876e-05
Combined,global_ed_total_ratio,0.5509480524168161,0.45793057900570466,False,1.1425755450686617,0.13328496419861105
Combined,global_nc_en_ratio,0.20437775156676502,0.6512102156956927,False,0.9994734371710561,-0.0005267015118359558
Combined,idh,15.319244131138962,9.078693322141153e-05,True,0.7038459798590937,-0.3511957253688676
Combined,mgmt,0.6803428373187363,0.4094686943332734,False,0.9206257642818538,-0.08270166158842054
Combined,occipital_ed_ratio,4.275423652433384,0.03866732357635078,True,0.001946703999372127,-6.241617593234348
Combined,occipital_en_ratio,4.989302726054157,0.02550448396026734,True,1.132526291523566e-05,-11.388474671391304
Combined,occipital_nc_ratio,1.8576980100947942,0.17289071815643714,False,0.1510137233074151,-1.8903845634662433
Combined,parietal_ed_ratio,4.080916610688723,0.043370125668915335,True,4.940536819067956e-06,-12.218036564840842
Combined,parietal_en_ratio,2.3331808250615658,0.12664286194975685,False,0.00024017528302240767,-8.334141555268385
Combined,parietal_nc_ratio,4.3929100309641935,0.03608866628083031,True,6.330883907659052e-07,-14.272655786689864
Combined,sex,1.3125000649182297,0.2519425034288764,False,1.062404392561969,0.060534634296591505
Combined,temporal_ed_ratio,4.294829630617499,0.03822842605952142,True,2.8015067281231894e-08,-17.390523354317487
Combined,temporal_en_ratio,7.027992675781865,0.008024525175371408,True,2.691784963844618e-07,-15.1278911220675
Combined,temporal_nc_ratio,1.963808963695375,0.1611065418245538,False,5.535448952506158e-09,-19.01209316251128
Combined,tumor_burden_index,4.612649755287261,0.03173695755876375,True,1.1643934250868643e+27,62.321997797102235
