model,tau,rmst_high_risk,rmst_high_ci_lower,rmst_high_ci_upper,rmst_low_risk,rmst_low_ci_lower,rmst_low_ci_upper,rmst_difference,rmst_diff_ci_lower,rmst_diff_ci_upper,p_value,n_high_risk,n_low_risk
Clinical,43.57782340862423,15.92780887626142,13.925471248101497,17.484030724577146,32.041406433611485,28.333022873557397,33.702228074623164,16.113597557350065,11.907895695001919,18.59311363638979,0.0,246,247
Spatial,43.57782340862423,19.956379677951347,17.369857093346226,21.816703560697185,28.730728598802376,25.405092884135602,30.66564954343835,8.774348920851029,4.930855905394656,12.148973869822106,0.0,246,247
Combined,43.57782340862423,16.25474252494545,14.292764158605129,17.825388917994147,31.41821654760422,27.47043584699426,33.066865312104476,15.163474022658772,10.876342784961926,17.692813548452776,0.0,246,247
