threshold,treat_none,treat_all_mean,treat_all_ci_lower,treat_all_ci_upper,Spatial Only_mean,Spatial Only_ci_lower,Spatial Only_ci_upper,Clinical Only_mean,Clinical Only_ci_lower,Clinical Only_ci_upper,Combined_mean,Combined_ci_lower,Combined_ci_upper
0.53,0.0,-0.18156,-0.396948,0.032882,-0.008302,-0.086181,0.068128,0.059554,0.006233,0.119923,0.088502,-0.020664,0.201805
0.54,0.0,-0.207246,-0.427317,0.011858,-0.02013,-0.091787,0.048748,0.048944,-0.003513,0.10101,0.087062,-0.018006,0.193237
0.55,0.0,-0.234074,-0.459035,-0.010101,-0.043313,-0.113356,0.021324,0.051042,0.010101,0.10101,0.095768,-0.008979,0.198653
0.56,0.0,-0.262121,-0.492195,-0.033058,-0.043611,-0.108356,0.017447,0.051042,0.010101,0.10101,0.094706,-0.004591,0.195592
0.57,0.0,-0.291473,-0.526897,-0.057082,-0.006322,-0.056848,0.040404,0.010313,0.0,0.030303,0.107585,0.01386,0.198732
0.58,0.0,-0.322222,-0.563252,-0.082251,-0.007421,-0.059644,0.040404,0.0,0.0,0.0,0.095398,0.000962,0.188071
0.59,0.0,-0.354472,-0.60138,-0.108647,-0.018547,-0.072678,0.020202,0.0,0.0,0.0,0.093048,-0.001971,0.187485
0.6,0.0,-0.388333,-0.641414,-0.136364,-0.004785,-0.045455,0.030303,0.0,0.0,0.0,0.070174,-0.025253,0.161616
0.61,0.0,-0.423932,-0.683502,-0.165501,0.010018,0.0,0.030303,0.0,0.0,0.0,0.047579,-0.045584,0.135716
0.62,0.0,-0.461404,-0.727804,-0.196172,0.010018,0.0,0.030303,0.0,0.0,0.0,0.034875,-0.057416,0.124934
0.63,0.0,-0.500901,-0.774502,-0.228501,0.010018,0.0,0.030303,0.0,0.0,0.0,0.039483,-0.045591,0.121212
0.64,0.0,-0.542593,-0.823793,-0.262626,0.010018,0.0,0.030303,0.0,0.0,0.0,0.017114,-0.065152,0.095398
0.65,0.0,-0.586667,-0.875902,-0.298701,0.010018,0.0,0.030303,0.0,0.0,0.0,0.033316,-0.04329,0.103896
0.66,0.0,-0.633333,-0.931075,-0.336898,0.010018,0.0,0.030303,0.0,0.0,0.0,0.031628,-0.047534,0.102198
