n_selected
2
4
10
2
4
4
2
4
4
2
7
2
4
4
4
4
4
10
2
7
4
2
2
4
4
4
4
2
4
4
4
4
7
4
2
2
7
2
4
4
4
2
2
4
4
2
4
2
2
4
