feature,overall_pct,high_risk_pct,low_risk_pct,odds_ratio,p_value,cohens_d
frontal_en_ratio,33.734939759036145,44.03669724770643,25.71428571428571,2.273224043715847,4.006390293693418e-09,0.4099788200549225
frontal_nc_ratio,18.27309236947791,23.394495412844037,14.285714285714285,1.8323353293413174,2.1247563301596337e-06,0.18352748072575917
temporal_en_ratio,34.13654618473896,39.908256880733944,29.642857142857142,1.5762898923940034,3.440228581133397e-05,0.2589454358364856
temporal_nc_ratio,21.686746987951807,24.31192660550459,19.642857142857142,1.3140495867768596,0.015426767486257079,0.0873109157760517
frontal_ed_ratio,70.08032128514057,77.98165137614679,63.92857142857142,1.9983705772811917,0.023738648619972234,0.08595378947826045
occipital_en_ratio,11.244979919678714,13.761467889908257,9.285714285714286,1.5589198036006546,0.029856588759256765,0.006605477190920036
parietal_en_ratio,24.096385542168676,26.146788990825687,22.5,1.2194616977225672,0.06160799924850158,0.11353296737905202
parietal_nc_ratio,13.052208835341366,15.59633027522936,11.071428571428571,1.4842215988779803,0.1628177213562788,0.08880132630772078
occipital_nc_ratio,7.028112449799197,7.79816513761468,6.428571428571428,1.2310668877833058,0.16294134845683073,0.0015950849375916058
temporal_ed_ratio,62.24899598393574,66.5137614678899,58.92857142857143,1.3843918638439185,0.21699137724787532,-0.013380820500814197
parietal_ed_ratio,49.19678714859438,50.0,48.57142857142857,1.0588235294117647,0.2817839880379933,0.04860848201226038
occipital_ed_ratio,26.506024096385545,26.605504587155966,26.42857142857143,1.0091216216216217,0.296181408521055,0.02903985434359839
